ID,prediction
2019 X 7 X C4001 X AS21126,0.0
2019 X 7 X C4001 X AS27134,21.142857142857135
2019 X 7 X C4001 X AS27132,0.8452380952380949
2019 X 7 X C4001 X AS27000,9.908044677200554
2019 X 7 X C4001 X AS27137,0.14285714269106337
2019 X 7 X C4001 X AS27138,4.194965541245507
2019 X 7 X C4001 X AS27133,12.502279622156365
2019 X 7 X C4023 X AS27000,11.428571428571423
2019 X 7 X C4023 X AS27133,33.782972033320235
2019 X 8 X C4023 X AS27000,11.428571428571423
2019 X 8 X C4023 X AS27133,28.877330038331493
2019 X 8 X C4001 X AS21126,0.0
2019 X 8 X C4001 X AS27134,21.142857142857135
2019 X 8 X C4001 X AS27132,0.8452380952380949
2019 X 8 X C4001 X AS27000,10.199311789270757
2019 X 8 X C4001 X AS27137,0.14285714269106337
2019 X 8 X C4001 X AS27138,4.194965541245507
2019 X 8 X C4001 X AS27133,12.820400552961146
2019 X 9 X C4001 X AS27134,21.142857142857135
2019 X 9 X C4001 X AS27132,0.8452380952380949
2019 X 9 X C4001 X AS27000,10.449068495829636
2019 X 9 X C4001 X AS27137,0.14285714269106337
2019 X 9 X C4001 X AS27138,4.194965541245507
2019 X 9 X C4001 X AS27133,13.02188379486857
2019 X 9 X C4023 X AS27000,11.428571428571423
2019 X 9 X C4023 X AS27133,27.39337604673434
2019 X 7 X C1066 X AS27134,20.621440801462064
2019 X 7 X C1066 X AS27132,12.305200693509857
2019 X 7 X C1066 X AS27000,67.64285714285712
2019 X 7 X C1066 X AS27137,0.0
2019 X 7 X C1066 X AS27138,2.8809523809523796
2019 X 7 X C1066 X AS27133,21.616207332195785
2019 X 7 X C1026 X AS27134,11.595238095238091
2019 X 7 X C1026 X AS27132,3.776162645590915
2019 X 7 X C1026 X AS27000,69.39539321929985
2019 X 7 X C1026 X AS27137,17.732452982002307
2019 X 7 X C1026 X AS27138,8.881784197001252e-16
2019 X 7 X C1026 X AS27133,19.026040680621993
2019 X 7 X C1063 X AS42018,0.0
2019 X 7 X C1063 X AS21126,0.0
2019 X 7 X C1063 X AS46000,0.0
2019 X 7 X C1063 X AS17005,0.0
2019 X 7 X C1063 X AS27134,0.9494658460412017
2019 X 7 X C1063 X AS27132,2.6645632947096174
2019 X 7 X C1063 X AS27000,0.0
2019 X 7 X C1063 X AS27139,0.0
2019 X 7 X C1063 X AS27137,0.0
2019 X 7 X C1063 X AS27138,0.0
2019 X 7 X C1063 X AS27133,48.59649632358335
2019 X 7 X C1011 X AS21126,40.270087035349995
2019 X 7 X C1011 X AS46000,0.0
2019 X 7 X C1011 X AS27134,5.357142857142855
2019 X 7 X C1011 X AS27132,2.5476190476190466
2019 X 7 X C1011 X AS27000,9.39224857641999
2019 X 7 X C1011 X AS27139,0.0
2019 X 7 X C1011 X AS27137,2.984147964686869
2019 X 7 X C1011 X AS27138,24.85580589607003
2019 X 7 X C1011 X AS27133,85.14420629639592
2019 X 7 X C1010 X AS27134,1.3959768408191124
2019 X 7 X C1010 X AS27132,3.6904761904761894
2019 X 7 X C1010 X AS27000,15.82305344183899
2019 X 7 X C1010 X AS27137,8.333565955094132
2019 X 7 X C1010 X AS27138,3.7268338924516278
2019 X 7 X C1010 X AS27133,85.0
2019 X 8 X C1026 X AS27134,11.595238095238091
2019 X 8 X C1026 X AS27132,1.8454316446941883
2019 X 8 X C1026 X AS27000,78.5267889756484
2019 X 8 X C1026 X AS27137,12.955793171804174
2019 X 8 X C1026 X AS27138,8.881784197001252e-16
2019 X 8 X C1026 X AS27133,15.338729616765754
2019 X 8 X C1066 X AS27134,36.22876333922787
2019 X 8 X C1066 X AS27132,8.108178200030451
2019 X 8 X C1066 X AS27000,67.64285714285712
2019 X 8 X C1066 X AS27137,0.0
2019 X 8 X C1066 X AS27138,2.8809523809523796
2019 X 8 X C1066 X AS27133,21.512717851574195
2019 X 8 X C1010 X AS27134,1.3959768408191124
2019 X 8 X C1010 X AS27132,3.6904761904761894
2019 X 8 X C1010 X AS27000,13.383565778981092
2019 X 8 X C1010 X AS27137,6.375801689439509
2019 X 8 X C1010 X AS27138,3.7268338924516278
2019 X 8 X C1010 X AS27133,85.0
2019 X 8 X C1063 X AS42018,0.0
